videoid,auto,sub
e93eCoVroEA,True,False
WZregz1cHb8,True,False
EFRe3YqyCPA,True,False
igzvT9hBdLQ,True,False
ymgJg1tbAtw,False,False
kJ6uih1TXZA,True,False
zqheWnfTh90,False,False
S4LqS1P2scw,True,False
pcKsEo7oLHg,True,False
wsiZadrY48g,True,False
iRreaYLe-O8,True,False
uzDRaRHuXYs,True,False
MaWPVZ8hUZ0,True,False
TdFGCYDErCQ,False,False
Yv-SpsDLiqI,True,False
WjALZ_-kplY,True,False
hGWJj2HGoAo,True,False
VxM7WWbjefk,True,False
dyY3r3VfM5k,True,False
P3hgceKMf4A,True,False
aQtwf7KdZ5U,True,False
-7cbcsQNXQg,False,False
wZnCxz0fpvM,True,False
zI64cM3sogg,True,False
dGjwkmx9K6k,True,False
T-hbjl7jd2A,False,False
KeIMUw22SZ8,True,False
ShW4LkEDmsM,True,False
4-EXeZLAYcY,False,False
JNCHbJruutY,True,False
2a3tGHLVR3U,True,False
l35nWsEJlFY,True,False
CpvvUovLPgQ,False,False
MmDNvpekJhg,False,False
tBu9q0TQqpY,False,False
_Ox7mTps-qM,True,False
V7aqD5et_Ow,False,False
tkFZ6hSZJOE,True,False
oZlOP-RhkJ4,False,False
Cz0xKTwF-rM,False,False
2dAg4bqRsM0,True,False
Syjls_1iUzE,True,False
R1jpnPZ8lrk,True,False
dRwTr5BMzwM,True,False
yECtywC1VH8,False,False
TmDlkpfL7YQ,False,False
zicfUSd4raU,False,False
hHS_ZGiYK30,True,False
Drg8beQFS5M,True,False
-1Td8VUcKk0,True,False
DrwB0omfOOI,True,False
0xkw0vT9J7k,False,False
FHGlj5-djuM,False,False
F8RE725uCvk,True,False
RZFMgb7SRKI,True,False
UDJkGkzTUYw,True,False
VOl2-xI76tI,True,False
RvrVicqDhKI,True,False
QHfan71zHKk,True,False
5eE-IDKqTQQ,False,False
ekTJG9P9JHU,True,False
0e3GPea1Tyg,True,False
hptQKjoUego,True,False
00NgUctWoLQ,False,False
mHJoCjV-np8,False,False
cfZ4uEp7owA,True,False
CCagA8E96RI,True,False
jI43rQtlOOk,True,False
ruf7gCJQ2jI,False,False
9mjio87WBNc,True,False
hP2c76ZeHaE,True,False
SFEWEQayd7k,True,False
hhfVHURS0yo,True,False
CgpExkmY6Y0,True,False
eUM1O2pkLJM,False,False
rfPq8gZszdM,False,False
JU1_MuENrB4,True,False
cJd9WgYWBe0,True,False
Ha94MEdP05g,True,False
z_tuknDyPAs,True,False
AdN9BNacUd4,True,False
jeFNC7dq8ec,True,False
9Q9PFX2ey6s,False,False
ErEB740apaU,True,False
UW5i8yLtT0M,False,False
4q78fwZli_s,False,False
wjDMYPdx7bo,True,False
5dKB8cdCPQo,True,False
7yTzTfJ5fMM,False,False
1mvkSv4jICM,True,False
sRUP0r-0nV0,True,False
BPcrpFjw4X8,False,False
lKCFsHyDVbc,True,False
jy3vjM39pdE,True,False
oDEDNaRAxVQ,True,False
PQT-DoaZhKA,True,False
67hCaedJjBY,False,False
EPZu5MA2uqI,False,False
SkI0NrM7IGc,True,False
4AGi_8smGCE,True,False
kQz7XA7Rwtk,True,False
Rt_UqUm38BI,True,False
cvTipU9gN5g,True,False
_nlfm_iMP5o,True,False
DNHI1biK0-4,True,False
O8gFmlGqfuU,True,False
m6Vr1kTkAaA,True,False
